num   IRAS_name         other_names        cloud   d                       d_ref           ra         dec          notes    r_K    m_K    Lbol     SpT  Teff   alma_res          alma_pi      Weq        Av     bcj                 BrG_flux     Lacc           Lstar       dLstar Teff_calc   Mstar     Rstar       Age              Mdisk           Macc
#                                               pc                                                                               mag   Lsun            K                                    A       mag                         erg/s/cm2/mu     Lsun   Lsun  Lsun  K  Msun  Rsun  yr    Earth mass   Msun/yr
  1    03220+3035         L1448IRS1       IC348  320                Ortiz-Leon18  03:25:09.43  30:46:21.6              b    0.0  10.57   -1.0       M2  3490  0.142221    2013.1.00031.S    -1.71     99.99   1.80    2.5307451357329116e-13     - - - - - - - - -
  2    03301+3111        Per-emb-64       IC348  320                Ortiz-Leon18  03:33:12.84  31:21:24.1              -   0.48  10.58    4.0       M2  3490  0.219759    2017.1.01693.S    -2.31     99.99     1.80    2.5223354351101736e-13    - - - - - - - - - 
  3    03507+3801    IRAS03507+3801       IC348  320                Ortiz-Leon18  03:54:06.19  38:10:42.5              -    0.6   9.91    2.5       G7  5290 -1.000000                -1    -0.64     99.99     1.23    4.598915019252293e-13     - - - - - - - - -    
  4    04108+2803                 -      TauAur  140                    Zucker19  04:13:53.39  28:11:23.4              F   0.24  10.37   -1.0       M2  3490 -1.000000                -1    -1.72    99.99     1.80    3.0429240168447434e-13      - - - - - - - - -
  5    04113+2758              MH01      TauAur  140                    Zucker19  04:14:26.27  28:06:03.3              -   0.60   8.20    1.1       M2  3490  0.066995    2016.1.01042.S    -3.22     99.99     1.80    2.2784977874751143e-12       - - - - - - - - -
  6    04113+2758              MHO2      TauAur  140                    Zucker19  04:14:26.40  28:05:59.7              -   0.00   8.27    1.1       M2  3490  0.066995    2016.1.01042.S    -1.45     99.99     1.80    2.09960117835513e-12         - - - - - - - - -
  7    04169+2702                 -      TauAur  140                    Zucker19  04:19:58.45  27:09:57.1              -   0.60  11.26    0.9       M2  3490  1.467178    2019.1.01209.S    -1.50     99.99     1.80    1.3376755795569963e-13     - - - - - - - - -
  8    04181+2655                 -      TauAur  140                    Zucker19  04:21:07.95  27:02:20.4            bd?   0.12  10.54   -1.0       G7  5290  0.118641    2016.1.01511.S    -0.89     99.99     1.23    2.580672408245577e-13       - - - - - - - - -
  9    04181+2655                 -      TauAur  140                    Zucker19  04:21:10.39  27:01:37.3              -   0.00  10.34   -1.0       G7  5290 -1.000000                -1    -8.41     99.99     1.23    3.3339117591628517e-13       - - - - - - - - -
 10    04189+2650            FSTauA      TauAur  140                    Zucker19  04:22:02.18  26:57:30.5              -   0.72   8.28  140.0       M2  3490  0.043962    2016.1.00460.S    -1.74     99.99     1.80    2.086298711128841e-12       - - - - - - - - -
 11    04189+2650            FSTauB      TauAur  140                    Zucker19  04:22:00.70  26:57:32.5              -    4.9  12.03   -1.0        -     0  0.043962    2016.1.00460.S    -6.48      4.70        0    6.90482695391306e-14         - - - - - - - - -
 12    04240+2559             DGTau      TauAur  140                    Zucker19  04:27:04.70  26:06:16.3              -   0.00   6.78   3.5       G3  5740  0.020648    2015.1.01268.S    -7.78     99.99     1.08    8.798789659064927e-12        - - - - - - - - -
 13    04248+2612              HH31      TauAur  140                    Zucker19  04:27:57.30  26:19:18.4              -   0.00  10.62    0.3       M3  3360  4.572525    2018.1.00756.S    -2.75     99.99     1.84    2.441555422163456e-13       - - - - - - - - -
 14    04292+2422          Haro6-13      TauAur  140                    Zucker19  04:32:15.41  24:28:59.7              -   0.12   7.63    0.6       G7  5290  0.066995    2016.1.01042.S    -2.62     99.99     1.23    3.829276855046346e-12        - - - - - - - - - 
 15    04295+2251                 -      TauAur  140                    Zucker19  04:32:32.05  22:57:26.7              -   0.54  10.54    0.3       M2  3490 -1.000000                -1    -1.10     99.99     1.80    2.586044013020397e-13       - - - - - - - - - 
 16    04315+3617                 -      TauAur  140                    Zucker19  04:34:53.22  36:23:29.2              -    3.6   9.20    1.7        -     0 -1.000000                -1    -10.22     7.30        0    9.68601557729664e-13        - - - - - - - -  -
 17    04381+2540              TMC1      TauAur  140                    Zucker19  04:41:12.68  25:46:35.4              -   0.24  11.81    0.6       K5  4140  0.253483    2017.1.01413.S    -2.30     99.99     1.58    8.123821833700402e-14     0.481238  0.11876219  0.0187622 4060    0.618    0.6009  6.45900e+07  24.0255571508996    1.7708e-08
 18    04530+5126                 -      TauAur  140                    Zucker19  04:56:57.02  51:30:50.9              -   0.36   7.80   -1.0       M2  3490 -1.000000                -1    -2.47     99.99     1.80    3.2695011365690627e-12      - - - - - - - -  -
 19    04591-0856                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:01:29.64 -08:52:16.9              F   0.18  10.40    0.9       K7  3970 -1.000000                -1    -1.41     99.99     1.63    2.9509750605511465e-13      - - - - - - - -  -
 20    05289-0430                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:31:27.09 -04:27:59.4              -    8.0   9.61    7.1        -     0 -1.000000                -1    -2.85      8.50        0    6.195681050806506e-13       - - - - - - - -  -
 21    05311-0631                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:33:32.52 -06:29:44.2              -   1.32  10.14    7.3       M4  3160 -1.000000                -1    -2.79     99.99     1.91    3.800455244769017e-13         6.78934  0.51066004  0.0106600 3100 0.2180  2.34600  188500.   -99.9               2.7651e-06
 22    05357-0650                 -        ONCA  400      Tobin2020(Gaiaaverage)  05:38:09.31 -06:49:16.6              -   5.32   7.93   10.8       A0     0  1.179110    2019.1.01813.S    -0.72     99.99        0    2.8510213763226627e-12      - - - - - - - -  -
 23    05375-0040                 -        ONCB  430      Tobin2020(Gaiaaverage)  05:40:06.79 -00:38:38.1              b   0.00   8.51    7.1       G7  5290 -1.000000                -1    -2.59     99.99     1.23    1.7021184775750425e-12      - - - - - - - -  -
 24    05375-0040                 -        ONCB  430      Tobin2020(Gaiaaverage)  05:40:06.37 -00:38:37.0              b   0.42  10.28   -1.0       M2  3490 -1.000000                -1    -1.61     99.99     1.80    3.302335611132592e-13       - - - - - - - -  -
 25    05375-0040                 -        ONCB  430      Tobin2020(Gaiaaverage)  05:40:05.79 -00:38:43.0              b   0.14   9.46   -1.0       G7  5290 -1.000000                -1    -5.77     99.99     1.23    7.315554680532228e-13       - - - - - - - -  -
 26    05379-0758           HOPS-20        ONCA  400      Tobin2020(Gaiaaverage)  05:40:20.55 -07:56:39.9              -    5.0   9.35    6.4        -     0  0.088538    2015.1.00041.S    -6.10     15.20        0    8.120824787195372e-13       - - - - - - - -  -
